"country","region","latitude","longitude","population","source"
"Italy","Abruzzo","42.35122196","13.39843823",1311580,"http://dati.istat.it/"
"Italy","Basilicata","40.63947052","15.80514834",562869,"http://dati.istat.it/"
"Italy","P.A. Bolzano","46.49933453","11.35662422",531178,"http://dati.istat.it/"
"Italy","Calabria","38.90597598","16.59440194",1947131,"http://dati.istat.it/"
"Italy","Campania","40.83956555","14.25084984",5801692,"http://dati.istat.it/"
"Italy","Emilia Romagna","44.49436681","11.3417208",4459477,"http://dati.istat.it/"
"Italy","Friuli Venezia Giulia","45.6494354","13.76813649",1215220,"http://dati.istat.it/"
"Italy","Lazio","41.89277044","12.48366722",5879082,"http://dati.istat.it/"
"Italy","Liguria","44.41149315","8.9326992",1550640,"http://dati.istat.it/"
"Italy","Lombardia","45.46679409","9.190347404",10060574,"http://dati.istat.it/"
"Italy","Marche","43.61675973","13.5188753",1525271,"http://dati.istat.it/"
"Italy","Molise","41.55774754","14.65916051",305617,"http://dati.istat.it/"
"Italy","Piemonte","45.0732745","7.680687483",4356406,"http://dati.istat.it/"
"Italy","Puglia","41.12559576","16.86736689",4029053,"http://dati.istat.it/"
"Italy","Sardegna","39.21531192","9.110616306",1639591,"http://dati.istat.it/"
"Italy","Sicilia","38.11569725","13.3623567",4999891,"http://dati.istat.it/"
"Italy","Toscana","43.76923077","11.25588885",3729641,"http://dati.istat.it/"
"Italy","P.A. Trento","46.06893511","11.12123097",541098,"http://dati.istat.it/"
"Italy","Umbria","43.10675841","12.38824698",882015,"http://dati.istat.it/"
"Italy","Valle d'Aosta","45.73750286","7.320149366",125666,"http://dati.istat.it/"
"Italy","Veneto","45.43490485","12.33845213",4905854,"http://dati.istat.it/"
